epoch,val_loss,val_auc,precision,recall,f1_score,lr,train_time,val_time,epoch_time
1,171.70173214999113,0.672067313994132,0.4697986577181208,0.17160367722165476,0.25138410893311386,0.0005,79.98025250434875,28.006186723709106,107.98643922805786
2,176.29615825306286,0.7100570079592994,0.44918367346938776,0.22482124616956078,0.29965963240299526,0.0005,53.788753271102905,28.060601472854614,81.84935474395752
3,171.84032786976206,0.7255912656464327,0.4664518574677786,0.2513789581205312,0.32669587149873885,0.0005,53.786250829696655,27.98626184463501,81.77251267433167
4,178.8800584272905,0.7316262690701512,0.3792555605991829,0.3413687436159346,0.35931620255886465,0.0005,53.75767707824707,28.051725387573242,81.80940246582031
5,169.1341440374201,0.7486984079327418,0.45571021828535274,0.29427987742594486,0.3576216484607746,0.0005,53.788649559020996,28.129737615585327,81.91838717460632
6,165.5160473910245,0.7539181032518111,0.43884040822363557,0.3030643513789581,0.35852818560812033,0.0005,84.64042806625366,28.164233684539795,112.80466175079346
7,175.04457869096237,0.7429014549791013,0.3884830253545337,0.27701736465781407,0.3234154194740922,0.0005,41.5033233165741,28.004669189453125,69.50799250602722
8,182.11822717840022,0.7545941283392658,0.3495411876384348,0.3385086823289071,0.3439364848736443,0.0005,41.27275109291077,27.977105379104614,69.24985647201538
9,169.8058783791282,0.7579245111603002,0.43086935166994106,0.35842696629213483,0.3913237426117988,0.0005,41.22268295288086,28.07981562614441,69.30249857902527
10,170.4067360617898,0.7483823988704048,0.4172278338945006,0.30377936670071504,0.35157820073294715,5e-05,41.56640148162842,28.187974214553833,69.75437569618225
11,157.89975128173828,0.7803186074206497,0.48992248062015503,0.3550561797752809,0.41172638436482084,5e-05,41.51288628578186,28.057096242904663,69.56998252868652
12,159.2706979924982,0.7834185110368725,0.4907446068197634,0.36016343207354445,0.4154344624447717,5e-05,76.51063919067383,35.35631012916565,111.86694931983948
13,158.0964707808061,0.7849125781652025,0.4842240824211204,0.3840653728294178,0.4283679863286813,5e-05,76.50377798080444,35.250128507614136,111.75390648841858
14,156.56165105646306,0.7880580327459591,0.49467802022352314,0.3797752808988764,0.42967756847336186,5e-05,76.43534636497498,35.25769567489624,111.69304203987122
15,157.59774322509764,0.7887092107768424,0.5007627236166967,0.36884576098059246,0.4247985412622787,5e-05,76.19278955459595,28.116442441940308,104.30923199653625
16,158.7563906582919,0.7864398437092726,0.476687898089172,0.3822267620020429,0.42426303854875286,5e-05,76.66323471069336,27.74831509590149,104.41154980659485
17,157.2383141257546,0.7899573103174107,0.4807121661721068,0.39713993871297243,0.43494798075847413,5e-05,76.08863282203674,28.073734521865845,104.16236734390259
18,155.74486361416902,0.7911470771782834,0.4824024483550115,0.386414708886619,0.4291061705989111,5e-05,76.27158498764038,27.88003158569336,104.15161657333374
19,157.41849739768287,0.7910501370148653,0.47863247863247865,0.4004085801838611,0.4360400444938821,5e-05,42.16930794715881,36.498937129974365,78.66824507713318
20,155.65520588267933,0.7936711749192026,0.47498229879631815,0.4111338100102145,0.44075777485764345,5e-05,41.96262168884277,36.754475116729736,78.71709680557251
